gender;mda;movNames
Female;Riley, Bridget;"{""Optical Art""}"
Male;Rubens, Peter Paul;"{""Baroque"",""Early Stuart""}"
Male;Roussel, Théodore;"{""Aesthetic Movement"",""New English Art Club""}"
Male;Ruscha, Edward;"{""Conceptual Art"",""Pop Art""}"
Male;Nicol, Erskine;"{""Victorian/Genre""}"
Male;Nauman, Bruce;"{""Body Art"",""Conceptual Art""}"
Female;Guerrilla Girls;"{""Feminist Art""}"
Male;Graham, Dan;"{""Conceptual Art""}"
Male;Gabo, Naum;"{""Abstraction-Création"",""British Constructivism"",""Constructivism"",""Kinetic Art"",""St Ives School""}"
Male;Gaudier-Brzeska, Henri;"{""Direct Carving"",""London Group"",""Vorticism""}"
Male;Gogh, Vincent van;"{""Post-Impressionism""}"
Male;Gris, Juan;"{""Cubism""}"
Male;Gheeraerts, Marcus, II;"{""Court"",""Early Stuart"",""Tudor""}"
Male;Gainsborough, Thomas;"{""Fancy Picture"",""Picturesque"",""Rococo""}"
Male;Gennari, Benedetto;"{""Court"",""Italian-trained, working in Britain"",""Later Stuart""}"
Male;Giacometti, Alberto;"{""Surrealism""}"
Female;Goncharova, Natalya;"{""Post-Impressionism"",""Rayonism""}"
Male;Zoffany, Johan;"{""Conversation Piece"",""Grand Manner""}"
Male;Toren, Amikam;"{""Conceptual Art""}"
Male;Tanavoli, Parviz;"{""Saqqakhaneh""}"
Male;Tillemans, Peter;"{""Netherlands-trained, working in Britain""}"
Male;Siberechts, Jan;"{""Later Stuart"",""Netherlands-trained, working in Britain""}"
Male;Schwitters, Kurt;"{""Constructivism"",""Dada"",""Expressionism"",""Merz""}"
Male;Soest, Gilbert;"{""Baroque"",""Civil War and Commonwealth"",""Court"",""Later Stuart"",""Netherlands-trained, working in Britain"",""Restoration""}"
Male;Spoerri, Daniel;"{""Nouveau Réalisme""}"
Male;Abrahams, Ivor;"{""Surrealism""}"
Male;Auerbach, Frank;"{""School of London""}"
Male;Albers, Josef;"{""Bauhaus"",""Post Painterly Abstraction""}"
Female;Ayres, OBE Gillian;"{""Tachism""}"
Male;Almond, Darren;"{""Young British Artists (YBA)""}"
Male;Appel, Karel;"{""Cobra""}"
Male;Fabro, Luciano;"{""Arte Povera"",""Conceptual Art""}"
Female;Fukushima, Hideko;"{""Experimental Workshop""}"
Male;Forbes, Stanhope Alexander;"{""Newlyn School"",""Victorian/Genre""}"
Male;Fuseli, Henry;"{""Romanticism""}"
Male;Francis, Sam;"{""Abstract Expressionism""}"
Male;Flaxman, John;"{""Neo-Classicism""}"
Male;Forge, Andrew;"{""London Group""}"
Male;Faed, Thomas;"{""Victorian/Genre""}"
Male;Forain, Jean-Louis;"{""Impressionism""}"
Male;Fuller, Isaac;"{""Restoration""}"
Male;Olson, Eric;"{""Optical Art""}"
Male;Orchardson, Sir William Quiller;"{""Victorian/Genre""}"
Male;Onslow-Ford, Gordon;"{""Surrealism""}"
Female;Houshiary, Shirazeh;"{""New British Sculpture""}"
Male;Hume, Gary;"{""Young British Artists (YBA)""}"
Male;Hofmann, Hans;"{""Abstract Expressionism""}"
Female;Hudson, Anna Hope;"{""Camden Town Group"",""London Group""}"
Male;Hayter, Stanley William;"{""British Surrealism""}"
Male;Hamilton, Gavin;"{""Neo-Classicism""}"
Male;Haacke, Hans;"{""Conceptual Art""}"
Male;Hill, Anthony;"{""British Constructivism""}"
Male;Malevich, Kazimir;"{""Supremetism""}"
Male;Mondrian, Piet;"{""Cubism"",""De Stijl"",""Neo-Plasticism""}"
Male;Mueck, Ron;"{""Young British Artists (YBA)""}"
Male;Mytens, Daniel, the Elder;"{""Court"",""Early Stuart"",""Netherlands-trained, working in Britain""}"
Male;McCarthy, Paul;"{""Abject art"",""Body Art"",""Performance Art""}"
Male;Moholy-Nagy, László;"{""Bauhaus"",""Constructivism""}"
Male;Merz, Mario;"{""Arte Povera""}"
Male;Magritte, René;"{""Surrealism""}"
Male;Constant;"{""Cobra""}"
Female;Carrington, Leonora;"{""Surrealism""}"
Male;Cipriani, Giovanni Battista;"{""Neo-Classicism""}"
Male;Clemente, Francesco;"{""Neo-Expressionism"",""Transavanguardia""}"
Female;Calle, Sophie;"{""Conceptual Art""}"
Male;Chéron, Louis;"{""Baroque"",""French-trained, working in Britain"",""Italian-trained, working in Britain""}"
Male;Christo;"{""Environmental Art"",""Land Art"",""Nouveau Réalisme""}"
Male;Crome, John;"{""Norwich School"",""Sublime""}"
Male;Cox, David;"{""Picturesque""}"
Male;Degas, Edgar;"{""Impressionism""}"
Male;De Loutherbourg, Philip James;"{""Picturesque"",""Sublime""}"
Male;Dance-Holland, Sir Nathaniel;"{""Neo-Classicism""}"
Male;Duchamp, Marcel;"{""Cubism"",""Dada""}"
Male;De Chirico, Giorgio;"{""Metaphysical Art"",""Scuola Romana"",""Surrealism""}"
Female;Delaunay, Sonia;"{""Orphic Cubism""}"
Male;Dahl, Michael;"{""Later Stuart"",""Swedish-trained, working in Britain""}"
Male;Van Aken, Joseph;"{""Conversation Piece""}"
Male;Verrio, Antonio;"{""Baroque"",""Italian-trained, working in Britain""}"
Male;Ernst, Max;"{""Dada"",""Surrealism""}"
Male;Etty, William;"{""Romanticism""}"
Male;Eworth, Hans;"{""Tudor""}"
Male;Egley, William Maw;"{""Victorian/Genre""}"
Male;Bevan, Robert;"{""Camden Town Group""}"
Male;Brangwyn, Sir Frank;"{""British War Art""}"
Male;Barney, Matthew;"{""Performance Art""}"
Female;Black, Karla;"{""Feminist Art""}"
Male;Bickerton, Ashley;"{""Neo-Geo""}"
Male;Boyd, Arthur;"{""Angry Penguins""}"
Female;Banner, Fiona;"{""Young British Artists (YBA)""}"
Male;Berman, Eugène;"{""Neo-Romanticism""}"
Male;Brancusi, Constantin;"{""Direct Carving""}"
Male;Borseller, Peter;"{""Restoration""}"
Female;Baer, Jo;"{""Minimalism""}"
Female;Kelly, Mary;"{""Conceptual Art"",""Feminist Art""}"
Male;Kandinsky, Wassily;"{""Bauhaus"",""Blaue Reiter, Der"",""Constructivism""}"
Male;Kooning, Willem de;"{""Abstract Expressionism""}"
Female;Kauffman, Angelica;"{""Neo-Classicism""}"
Male;Kounellis, Jannis;"{""Arte Povera"",""Performance Art""}"
Male;Kelly, Ellsworth;"{""Post Painterly Abstraction"",""Surrealism""}"
Male;Lely, Sir Peter;"{""Baroque"",""Civil War and Commonwealth"",""Court"",""Later Stuart"",""Netherlands-trained, working in Britain"",""Restoration""}"
Male;Le Sidaner, Henri;"{""Impressionism""}"
Male;Lipchitz, Jacques;"{""Cubism"",""Purism""}"
Male;Lissitzky, El;"{""Constructivism""}"
Male;Poliakoff, Serge;"{""Art Informel""}"
Male;Pissarro, Lucien;"{""Camden Town Group"",""Neo-Impressionism""}"
Male;Paolini, Giulio;"{""Arte Povera""}"
Male;Penone, Giuseppe;"{""Arte Povera""}"
Male;Picabia, Francis;"{""Dada"",""Surrealism""}"
Male;Williams, William;"{""Sublime""}"
Male;West, Benjamin;"{""Grand Manner"",""Neo-Classicism""}"
Male;Weschke, Karl;"{""St Ives School""}"
Male;Wyatt, Henry;"{""Victorian/Genre""}"
