"titleid","ordering","title","region","language","types","attributes","isoriginaltitle"
"tt0000001","2","Carmencita","DE","\N","\N","literal title","0"
"tt0000001","8","カルメンチータ","JP","ja","imdbDisplay","\N","0"
"tt0000001","3","Carmencita - spanyol tánc","HU","\N","imdbDisplay","\N","0"
"tt0000001","7","Carmencita","\N","\N","original","\N","1"
"tt0000001","1","Карменсіта","UA","\N","imdbDisplay","\N","0"
"tt0000001","4","Καρμενσίτα","GR","\N","imdbDisplay","\N","0"
"tt0000001","6","Carmencita","US","\N","\N","\N","0"
"tt0000001","5","Карменсита","RU","\N","imdbDisplay","\N","0"
"tt0000002","7","The Clown and His Dogs","US","\N","\N","literal English title","0"
"tt0000002","4","Der Clown und seine Hunde","DE","\N","\N","literal title","0"
"tt0000002","2","A bohóc és kutyái","HU","\N","imdbDisplay","\N","0"
"tt0000002","1","Le clown et ses chiens","\N","\N","original","\N","1"
"tt0000002","3","Le clown et ses chiens","FR","\N","\N","\N","0"
"tt0000002","6","Клоун и его собаки","RU","\N","imdbDisplay","\N","0"
"tt0000002","8","道化師と犬","JP","ja","imdbDisplay","\N","0"
"tt0000002","5","Clovnul si cainii sai","RO","\N","imdbDisplay","\N","0"
"tt0000003","8","Pauvre Pierrot","FR","\N","\N","\N","0"
"tt0000003","2","Szegény Pierrot","HU","\N","imdbDisplay","\N","0"
"tt0000003","1","Sarmanul Pierrot","RO","\N","imdbDisplay","\N","0"
"tt0000003","4","Бідний П'єро","UA","\N","imdbDisplay","\N","0"
"tt0000003","7","Poor Pierrot","GB","\N","imdbDisplay","\N","0"
"tt0000003","5","Бедный Пьеро","RU","\N","imdbDisplay","\N","0"
"tt0000003","6","Pauvre Pierrot","\N","\N","original","\N","1"
"tt0000003","3","哀れなピエロ","JP","ja","imdbDisplay","\N","0"
"tt0000003","9","Armer Pierrot","DE","\N","\N","literal title","0"
"tt0000004","5","Полная кружка пива","RU","\N","imdbDisplay","\N","0"
"tt0000004","3","Un ţap de bere","RO","\N","imdbDisplay","\N","0"
