,id,artist,artistRole,artistId,title,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
0,59073,"Turner, Joseph Mallord William",artist,558,"On the Giudecca Canal, with Santa Marta",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1840.0,1856.0,support: 173 x 123 mm,173.0,123.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D31/D31853_8.jpg,http://www.tate.org.uk/art/artworks/turner-on-the-giudecca-canal-with-santa-marta-d31853
1,10657,"Nicholson, Ben, OM",artist,1702,untitled,Etching on paper,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1967.0,1975.0,image: 340 x 181 mm,340.0,181.0,,mm,date inscribed,"© Angela Verren Taunt 2014. All rights reserved, DACS",http://www.tate.org.uk/art/images/work/P/P01/P01242_8.jpg,http://www.tate.org.uk/art/artworks/nicholson-untitled-p01242
2,57087,"Turner, Joseph Mallord William",artist,558,Heidelberg Castle: The Gate Tower and Broken Tower from the South-East,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 165 x 110 mm,165.0,110.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D29/D29825_8.jpg,http://www.tate.org.uk/art/artworks/turner-heidelberg-castle-the-gate-tower-and-broken-tower-from-the-south-east-d29825
3,47203,"Turner, Joseph Mallord William",artist,558,On the Rhine,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1824.0,1856.0,support: 118 x 78 mm,118.0,78.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D19/D19850_8.jpg,http://www.tate.org.uk/art/artworks/turner-on-the-rhine-d19850
4,21659,"Eyton, Anthony",artist,1075,Bankside - The Turbine Hall,Oil paint on canvas,Purchased with assistance from the Charlotte Bonham Carter Charitable Trust 1996,1995.0,1996.0,support: 1514 x 1268 x 25 mm frame: 1676 x 1435 x 85 mm,1514.0,1268.0,25.0,mm,,© Anthony Eyton. All Rights Reserved 2010 / Bridgeman Art Library,http://www.tate.org.uk/art/images/work/T/T07/T07125_8.jpg,http://www.tate.org.uk/art/artworks/eyton-bankside-the-turbine-hall-t07125
5,78181,"Nauman, Bruce",artist,1691,"MAPPING THE STUDIO II with color shift, flip, flop, & flip/flop (Fat Chance John Cage)","Video, 7 projections, colour and sound (mono)","Purchased jointly by Tate, London with funds provided by the American Fund for the Tate Gallery; Centre Pompidou, Musée national d'art moderne, Paris with the support of Mr and Mrs William S. Fisher Family Foundation and the Georges Pompidou Culture Found",2001.0,2004.0,"duration: 5hours, 45min Overall display dimensions variable",,,,,,"© Bruce Nauman/ARS, NY and DACS, London 2014",http://www.tate.org.uk/art/images/work/T/T11/T11893_8.jpg,http://www.tate.org.uk/art/artworks/nauman-mapping-the-studio-ii-with-color-shift-flip-flop-flipflop-fat-chance-john-cage-t11893
6,4192,"Evans, Garth",artist,1072,Untitled,Intaglio print on paper,Presented by the artist 1978,1971.0,1978.0,image: 590 x 765 mm,590.0,765.0,,mm,date inscribed,© Garth Evans,http://www.tate.org.uk/art/images/work/P/P02/P02474_8.jpg,http://www.tate.org.uk/art/artworks/evans-untitled-p02474
7,5377,"Glendening, Alfred",artist,1179,Haymaking,Watercolour on paper,Presented by the Trustees of the Chantrey Bequest 1898,1898.0,1898.0,support: 597 x 914 mm,597.0,914.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/N/N01/N01718_8.jpg,http://www.tate.org.uk/art/artworks/glendening-haymaking-n01718
8,58603,"Turner, Joseph Mallord William",artist,558,"Bamberg: The Cathedral, Obere Pfarrkirche, St Stephan and Carmelite Church",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1840.0,1856.0,support: 198 x 126 mm,198.0,126.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D31/D31370_8.jpg,http://www.tate.org.uk/art/artworks/turner-bamberg-the-cathedral-obere-pfarrkirche-st-stephan-and-carmelite-church-d31370
9,61105,"Turner, Joseph Mallord William",artist,558,"Mountains beside River (or Lake). Mourk [Turner] (?the Mürz, between Vienna and Gratz)",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 97 x 144 mm,97.0,144.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D33/D33936_8.jpg,http://www.tate.org.uk/art/artworks/turner-mountains-beside-river-or-lake-mourk-turner-the-murz-between-vienna-and-gratz-d33936
