country,city,street_name,street_number,postal_code
Poland,Łodygowice,Porter,0,34-325
China,Gaozhuang,Spohn,3,
Poland,Lisia Góra,Kings,0,33-140
South Africa,Piketberg,Marquette,145,8115
United States,Fresno,Dawn,9028,93715
China,Liuzhuang,Riverside,49646,
France,La Roche-sur-Yon,Macpherson,347,85928 CEDEX 9
United States,Santa Barbara,Fisk,66,93106
Germany,Wuppertal,Maywood,80,42285
China,Shangma,Lighthouse Bay,43955,
Canada,Killam,Rigney,27625,A0A
Ukraine,Nyzhni Petrivtsi,Artisan,2,
China,Zhaowanzhuang,Continental,5,
Norway,Oslo,Esker,55,0403
Thailand,Mukdahan,Hoard,73,49160
Iran,Torbat-e Jām,Kennedy,7,
Indonesia,Teongtoda,Maywood,872,
China,Jiangkou,East,73,
Portugal,Manadas,Hagan,6262,9800-026
Indonesia,Cipari,Monica,9480,
Philippines,Angono,Victoria,3592,1930
Indonesia,Wates,Acker,58848,
China,Annan,Eastlawn,0,
Ivory Coast,Boundiali,Monument,74,
Armenia,Jrashen,Victoria,605,
Netherlands,Hilversum,Hudson,73,1209
China,Dasuhe,Mcbride,4377,
Nigeria,Dambarta,Debs,5,
Brazil,Brotas,Northridge,7,17380-000
France,Floirac,Waxwing,920,33274 CEDEX
China,Xubu,Donald,22,
China,Luwu,Summerview,7370,
Indonesia,Waerana,Muir,3,
Russia,Rzhev,Kinsman,57413,172389
Myanmar,Kyaikto,Bluejay,8,
Mexico,Reforma,Thompson,75612,32600
Finland,Varkaus,Blackbird,7,78900
China,Xingfu,Gateway,63,
Indonesia,Tanenofunan,School,61,
France,Cergy-Pontoise,Grasskamp,44223,95011 CEDEX
Antigua and Barbuda,Piggotts,Cody,3381,
Poland,Świnice Warckie,6th,34,99-140
Russia,Temirgoyevskaya,Green Ridge,77,352403
China,Xiaolukou,Aberg,7348,
United States,Cincinnati,Dottie,3,45249
Vietnam,Tiên Lãng,Esker,24723,
Canada,Whitehorse,Artisan,596,Y1A
Peru,Querecotillo,Blackbird,3572,
China,Songying,Rowland,4,
Uzbekistan,Kirgili,Katie,58,
Philippines,Taguisa,Marcy,826,4706
Russia,Yakovlevo,Messerschmidt,11,215723
Philippines,Usab,Surrey,938,6127
Greece,Saronída,Pankratz,4705,
China,Anren Chengguanzhen,Ilene,1,
Norway,Oslo,Marcy,63,0873
Ukraine,Bila Krynytsya,Old Gate,7626,
China,Hepu,Summerview,428,
South Korea,Kwangmyŏng,Del Mar,257,
Pakistan,Khurriānwāla,Barnett,22,26301
Mayotte,Dzaoudzi,Myrtle,15,97615
Indonesia,Cikiruh Wetan,Park Meadow,48,
China,Wenshui,Waxwing,7,
Brazil,Nova Viçosa,Lighthouse Bay,3,45920-000
Philippines,Laguilayan,Algoma,902,2402
Greece,Kyprínos,Everett,34,
Indonesia,Makui,Autumn Leaf,98752,
China,Shuishaping,Westridge,49725,
Indonesia,Pancanagara,Mariners Cove,95899,
Tunisia,Sidi Bouzid,Sauthoff,7,
Indonesia,Muyaka,Park Meadow,7,
Kenya,Rongai,Killdeer,1,
Japan,Kobayashi,Chinook,3,999-6735
United States,Seattle,Kensington,60,98140
Portugal,Ul,Pleasure,98961,3720-583
China,Taoyang,Marquette,19699,
Russia,Rameshki,Caliangt,1,171439
Netherlands,Hoorn,Clove,89,1624
Albania,Fier-Çifçi,Thackeray,3504,
Indonesia,Takengon,Fremont,274,
China,Shazhuang,David,4189,
United States,Independence,Gale,89350,64054
Canada,Carleton-sur-Mer,Bowman,4350,P0T
Serbia,Radenković,Atwood,39,
Indonesia,Banjar Banyuning Barat,Nova,697,
Portugal,Infantas,Lyons,11,4810-578
Finland,Inari,Pierstorff,6,99871
Ivory Coast,Arrah,Gerald,52,
Indonesia,Tembang,Fremont,9301,
Bosnia and Herzegovina,Stupari,Golf Course,880,
China,Jianping,Lien,22,
Venezuela,Tucaní,Hoard,68463,
Portugal,Amor,Hoepker,601,2400-772
China,Si’erbao,5th,692,
Argentina,Pozo Hondo,Hallows,9489,3714
China,Toufang,Pankratz,1667,
Indonesia,Cileles,Parkside,3093,
Dominica,Portsmouth,Golf,629,
Chile,Penco,Farwell,727,
Ukraine,Kamennyye Potoki,Knutson,4,
Sweden,Mölndal,Acker,7,431 87
Philippines,Caronoan West,Lerdahl,40963,5420
China,Yanggu’ao,Pleasure,60,
Palestinian Territory,Qalqīlyah,Hallows,2924,
Morocco,Brikcha,Lindbergh,8860,
Vietnam,Krông Kmar,Continental,18,
Argentina,Pampa de los Guanacos,Morrow,96,3181
Ireland,Gorey,Stang,14,Y25
China,Huichang,Scott,97,
Poland,Mrozy,Pleasure,37,05-320
Indonesia,Babakanlapang,Pine View,23243,
Indonesia,Kasreman,Eastwood,34,
Yemen,Al ‘Ashshah,Leroy,37,
China,Wangping,Gerald,97498,
Venezuela,Altagracia de Orituco,Old Shore,5,
South Africa,Orkney,Vermont,9,2627
Tunisia,Radès,Victoria,7,
Brazil,Tupã,Thackeray,9640,17600-000
Indonesia,Genting,Anzinger,6,
China,Wuyao,Shasta,38453,
Sweden,Karlstad,Kings,8,651 11
France,Bayonne,Forest Dale,8,64185 CEDEX
China,Hekou,Sherman,0,
Egypt,Kawm Umbū,Welch,6107,
China,Nanshi,Kipling,8,
Sweden,Nässjö,Barby,26,571 36
Ukraine,Kodra,Tomscot,5,
China,Yangjiaqiao,Helena,88149,
Norway,Sandefjord,Vermont,6,3225
Philippines,Bangan-Oda,High Crossing,166,2408
Indonesia,Krajan Kerjo,Sheridan,4143,
Vietnam,Haiphong,Barby,85,
Poland,Warlubie,Delaware,49302,86-160
Uzbekistan,Chimboy Shahri,Sutteridge,1601,
Tanzania,Tukuyu,Toban,88,
Indonesia,Bedayu,Oakridge,56148,
Ireland,Ballinroad,Upham,7965,D07
Philippines,San Agustin,6th,50,8305
Central African Republic,Mobaye,Melvin,143,
Canada,Drayton Valley,Bay,87679,T7A
Brazil,Arroio Grande,Veith,8,96330-000
Peru,Pucyura,Northview,2473,
Argentina,Candelaria,Burrows,335,3308
Afghanistan,Būrkah,Straubel,499,
Russia,Somovo,Maple Wood,95314,396336
China,Fankeng,Scott,965,
Mexico,Anahuac,Chive,348,92035
China,Tieling,Ramsey,7,
China,Jiangtun,Pond,69,
Kazakhstan,Karabas,Lerdahl,874,
Finland,Savonlinna,Russell,6396,57810
China,Jiacun,Dorton,11614,
Portugal,Barroco,Pearson,43575,4650-576
United States,Washington,Susan,0,20337
Mongolia,Öldziyt,Golden Leaf,15,
Russia,Klimovsk,Eliot,43,152014
France,Frontignan,Buena Vista,8,34114 CEDEX
Iran,Behābād,Hovde,4567,
Portugal,Calçada,Rowland,396,4930-345
Latvia,Līgatne,Grover,734,
Portugal,Penha Longa,Anderson,693,4625-347
Portugal,Fontinha,Anthes,3399,3060-323
Japan,Inawashiro,Charing Cross,7,969-3288
France,Lille,Eggendart,15965,59002 CEDEX
China,Kambaxoi,Lakeland,97181,
Poland,Miedzichowo,Maple Wood,2587,64-361
China,Puning,Gulseth,861,
China,Yangjiafang,Annamark,2470,
Thailand,Phon Phisai,Tony,71315,43120
Poland,Żórawina,Ronald Regan,4368,55-020
Nigeria,Gwandu,Kings,3560,
Indonesia,Nggesa,Acker,8,
Poland,Krzeszów,Grasskamp,62,58-405
China,Lian,Straubel,8259,
Philippines,Gammad,Cascade,362,3503
China,Jiangyou,Donald,8249,
Cambodia,Phnom Penh,Ludington,3983,
Colombia,Flandes,Hallows,2469,733517
Mozambique,Inhambane,Sachs,140,
Indonesia,Munduk,Hovde,723,
China,Zhongdong,Forest Dale,6,
Portugal,Calvário,Mcbride,79297,3740-228
France,Toulouse,Warbler,8,31931 CEDEX 9
Armenia,Mets Parni,Drewry,3,
Poland,Świlcza,Doe Crossing,2675,36-072
Malaysia,Pulau Pinang,American,7038,10612
China,Liucun,Southridge,3836,
Russia,Shar’ya,Park Meadow,3,157510
Brazil,Peabiru,Parkside,655,87250-000
Sudan,Rabak,Troy,28,
France,Fresnes,Sachs,278,94264 CEDEX
Togo,Badou,Cody,59036,
France,Courtaboeuf,Farragut,2,91948 CEDEX
Burkina Faso,Boulsa,Glendale,60354,
Colombia,Baranoa,Service,95390,082028
Colombia,Ciudad Bolívar,Fallview,449,056468
China,Oroqen Zizhiqi,Ridgeway,392,
Albania,Rrapë,Harper,2507,
South Africa,Kakamas,Chinook,41457,8874
Cuba,Jobabo,Riverside,437,
Egypt,Al Jīzah,Oakridge,79,
Colombia,Nariño,Service,29,252837
Niger,Birni N Konni,Acker,693,
Indonesia,Sukasirna,Brickson Park,6,
United States,Harrisburg,Valley Edge,35361,17126
Mexico,Lazaro Cardenas,Crownhardt,8,87326
Philippines,Bacungan,Blaine,234,9216
Poland,Czeremcha,Gina,51493,17-240
Venezuela,Cabudare,American,95,
China,Hefu,Gulseth,1962,
China,Sidu,Village,61600,
Luxembourg,Niederanven,Menomonie,41,L-6948
China,Aotou,High Crossing,76294,
South Korea,Uijeongbu-si,Hanover,8,
China,Gezan,Pawling,8,
Russia,Yaroslavl,Warrior,68723,302025
China,Qinnan,Corry,42335,
Indonesia,Ketawang,Killdeer,37814,
Japan,Kodamachō-kodamaminami,Mayer,9,375-0054
Indonesia,Siak Sri Indrapura,Hansons,9,
Sweden,Hisings Kärra,Elka,23,425 65
Azerbaijan,Barda,Hagan,9,
Indonesia,Semongkat,Carberry,619,
China,Jiangqiao,Mockingbird,7,
China,Yuyangguan,Lunder,4,
Chile,Lampa,Westend,4,
China,Gedian,Lighthouse Bay,4,
Peru,Caujul,Ohio,8582,
China,Daqiao,Old Shore,79,
Venezuela,Santa Bárbara,Superior,5898,
Portugal,Barreiro,Hanson,436,4950-642
Mongolia,Undurkhaan,Dahle,94889,
Indonesia,Cingambul,Talmadge,93,
Philippines,Perrelos,Almo,66,6017
Indonesia,Banjar Swastika,Sachs,36936,
China,Dinghuo,Longview,5452,
Mongolia,Bayan-Ovoo,Lerdahl,53235,
Philippines,Ondoy,Monica,3,5607
United States,Chicago,Mcguire,3,60609
Guatemala,Zunilito,Schurz,32356,10009
Israel,Kafr Mandā,Macpherson,1,
Philippines,Balading,Annamark,973,4005
Brazil,Nanuque,Forest,9,39860-000
Indonesia,Karang Tengah,Orin,53084,
Armenia,Bagratashen,Oak Valley,1822,
Russia,Kudara-Somon,Eggendart,93113,671836
China,Shihuajian,Johnson,4334,
Poland,Dobrzeń Wielki,Sommers,6972,46-081
Nigeria,Buni Yadi,Florence,49512,
China,Shigu,Walton,3,
Ukraine,Kivsharivka,Dapin,3,
China,Erong,Waubesa,1000,
Brazil,Paranapanema,Ryan,4,18720-000
Poland,Choszczno,Bowman,8324,73-201
Japan,Ōmachi,Lotheville,56307,399-8604
Japan,Katsuta,Mallory,3,927-2162
Nigeria,Gwandu,Superior,8,
Sweden,Göteborg,Straubel,1466,403 20
China,Luyang,Debra,6,
Argentina,Neuquén,Roth,585,8300
Russia,Shimorskoye,Red Cloud,4641,607036
Greece,Galatás,Oakridge,2251,
Mauritius,Chemin Grenier,Veith,1024,
China,Kalayemule,Melby,1560,
Ecuador,Pedro Carbo,Rusk,192,
China,Guoduwan,Gulseth,7490,
United States,Durham,Saint Paul,297,27710
Portugal,Cavalões,Bayside,64,4760-421
Libya,Zalţan,Kingsford,90433,
China,Liutao,Dahle,149,
Ecuador,Azogues,Pennsylvania,1395,
Philippines,Lamak,Esch,4,8608
China,Laojunmiao,Lien,927,
Russia,Petrovsk,Northview,5,412545
China,Meishan,Kropf,85,
Indonesia,Sengeti,Atwood,0,
Iran,Sanandaj,Lillian,5,
Indonesia,Kloangpopot,Johnson,726,
Portugal,Tabuaço,Westend,96886,5120-384
Portugal,Chãos,Menomonie,16,4960-160
Azerbaijan,Zaqatala,Aberg,53343,
Afghanistan,Jurm,Stoughton,1,
Bosnia and Herzegovina,Gornje Moštre,Hauk,22,
Colombia,Cantagallo,Emmet,0,135067
Argentina,El Galpón,Fisk,2029,4446
Ukraine,Bolhrad,Lotheville,9,
Poland,Wińsko,Lake View,37288,56-160
Indonesia,Montasik,Grover,7,
Indonesia,Walenrang,Fallview,2538,
Argentina,Campo Quijano,Rutledge,5,4407
Philippines,Batasan Bata,Hoepker,53,3010
Russia,Shkurinskaya,Union,1380,352000
Slovenia,Preserje pri Radomljah,Hanover,13,1241
Indonesia,Pining,Maryland,460,
Indonesia,Sindangheula,Moose,29,
Nigeria,Nnewi,Melody,73406,
Guatemala,Jalpatagua,Nevada,8,22012
Philippines,Calidñgan,Crownhardt,3651,1805
Russia,Vydreno,Carpenter,8177,425399
Armenia,Arevik,Veith,37434,
China,Shangjing,Sycamore,21,
Mongolia,Tsagaanders,Coleman,9698,
Guatemala,Concepción,Harbort,58,07023
China,Hushi,Sherman,3780,
China,Baisha,Schurz,78,
China,Zhutang,Brickson Park,28281,
Sweden,Mariestad,Rusk,150,542 95
Indonesia,Lakateng,Grim,6260,
China,Yanghou,Kings,0,
Portugal,Candelária,Helena,717,9950-125
France,Compiègne,Melby,5,60204 CEDEX
China,Hecun,Clarendon,73495,
Indonesia,Somorpenang,Spohn,8574,
Indonesia,Oli,Buena Vista,2,
Japan,Sagara,Stephen,6383,421-0522
Russia,Aleksandrovskiy Zavod,Kropf,85,356024
Kazakhstan,Stepnogorsk,Algoma,53,
